club_id,name,club_type_id,mcc_category
972,뫼골둥지,3,5
973,JDM,3,3
974,예수전도단(YWAM),3,3
975,JOY선교회,3,3
976,CCC,3,3
977,CMI,3,3
978,IVF,3,3
979,CFM,3,3
980,가톨릭학생회,3,3
981,효월검우회,3,6
982,돌핀,3,6
983,UITC,3,6
984,바이킹,3,6
985,PANG,3,6
986,다크호스,3,6
988,INUW FC,3,6
989,퍼펙트,3,6
990,산악부,3,6
991,싸우라비,3,6
992,별천지,3,NULL
993,기우회,3,NULL
994,셔플,3,NULL
995,유스호스텔,3,NULL
996,하양검정,3,NULL
997,한아랑,3,NULL
998,인유공방,3,1
999,보.인.다,3,NULL
1000,예수전도단,3,3
1001,너나들이,3,1
1002,RAO,3,2
1003,Rcy,3,5
1004,선사시대,3,2
1005,브레드린,3,3
1006,ABL,3,2
1008,뿌르릉,1,NULL
1011,ESF,3,3
1012,아스팔트,3,6
1013,Filmer,3,2
1014,I.S.F,3,5
1015,영앤리치,3,2
1016,IYF,3,5
1017,커피나무,3,2
1018,K.G.C,3,6
1019,P-10,3,2
1020,EBS,3,3
1021,CCC,3,3
1022,스튜디오 HaDa,1,2
1023,주님의 사연,3,3
1024,Studio CNM,3,2
1025,코쿤,3,7
1026,소농민,3,1
1028,CU:cosmos universe,3,4
1030,AW,3,2
1031,한울회,3,5
1032,산악부,3,6
1033,ivf,3,3
1034,백코트,3,6
1035,S.F.C,3,3
1036,로컬플레이어,3,2
1037,A.R.S.,3,4
1038,Tramp(트램프),3,2
1039,루나,4,100
1040,다잇트 (다 eat),2,1
1041,씨사운드,3,2
1042,UCDC,3,2
1043,동반,3,5
1044,TIME,3,4
1045,WAP,3,4
1046,어택,3,6
1047,JDM,3,3
1048,피어드림,3,5
1049,모비딕,3,6
1050,바구니,3,6
1051,SIC,3,4
1052,나불아뜨리에,3,1
1053,CCC,3,3
1054,플레이아데스,3,4
1055,소리빛깔,3,5
1056,PAS,3,1
1057,스타피쉬(축구),3,6
1058,입큰개그리,3,2
1059,RCY,3,5
1060,Siri,3,4
1061,쇳물결(IRON WAVE),3,2
1062,일본문화연구회,3,4
1063,수석회,3,1
1064,테크니칼,3,2
1065,CUDA,3,1
1068,회화동인회,3,2
1070,보블리스,3,2
1071,ESF,3,3
1072,CES 충남대학교 곤충학 동아리,2,4
1073,청심회,3,5
1074,SL빌리어드,3,6
1075,Ride,3,6
1076,기도연구회,3,1
1077,오름,3,6
1078,CNU미담장학회,3,5
1079,Serve,3,6
1080,한판,3,6
1081,윈드스톰,3,6
1082,논함,3,4
1083,집현전,3,4
1084,인액터스,3,4
1085,O.S.T,3,4
1086,포시즌,3,1
1087,백경클래식기타연구회,3,2
1088,백경유스호스텔,3,1
1089,높낮이,3,4
1090,사진동아리 입자,3,1
1091,CERT-IS,3,4
1092,부경다이버,3,6
1093,한 판,3,6
1094,아카데미,3,4
1095,울림,3,2
1096,스타피쉬(농구),3,6
1097,GUTTER,3,6
1098,민심사랑,3,5
1099,모비딕스,3,2
1100,매니아,3,2
1101,남천로타랙트,3,5
1102,지평선,3,4
1103,조정부,3,6
1104,후라,3,6
1105,한누리,3,2
1106,짚신,3,1
1107,차사랑,3,1
1108,Fc AllStar,3,6
1109,300,3,1
1110,요트부,3,1
1111,스매싱,3,6
1112,버드,3,6
1113,산악부,3,6
1114,홍백,3,6
1115,송웨이브,3,2
1116,조나단,3,6
1118,가톨릭 학생회,3,3
1119,부경대학교 불교학생회,3,3
1120,SFC(학생신앙운동),3,3
1121,미담장학회,3,5
1122,절영회,3,5
1123,전통예술연구회 터,3,2
1124,IVF,3,3
1125,소리하나,3,2
1126,울림,3,1
1127,돼지,3,6
1129,에클레시아,3,3
1130,무형회,3,6
1131,백경극예술연구회,3,2
1132,네오쇼크,3,2
1133,PKNUO,3,2
1134,카페인,1,1
1136,디그(DIG),3,6
1137,오아시스,3,1
1141,SCNU-B,3,6
1142,커튼콜,3,2
1145,새순,3,5
1147,UnexpecTED,3,4
1150,한울회,3,5
1152,새콤달콤,2,1
1153,캡스톤준비,1,4
1154,YWAM(예수전도단),3,3
1158,공동정범,2,2
1159,전남대학교 광주캠퍼스 총동아리연합회,4,100
1160,과실연,3,5
1161,CAST,3,1
1162,SFC(학생신앙운동),3,3
1163,전남대학교 SK LOOKIE,3,4
1164,newera,3,2
1165,CCC,3,3
1166,일본문화연구회,3,4
1167,기백(GI Back)氣魄,3,6
1168,흥사단,3,4
1169,CVCA,3,4
1170,IVF,3,3
1171,바이슨,3,NULL
1172,전대극회,3,2
1173,로타랙트,3,5
1174,전원회,3,3
1175,관현악반,3,2
1176,두드림(봉사분과),3,NULL
1177,테크니션,3,6
1178,전검회,3,6
1179,We'z,3,NULL
1180,선율,3,2
1181,Sea-fox,3,6
1182,ARC (아크),3,5
1183,메이플,3,2
1184,JDM,3,3
1185,로터스,3,2
1186,GRIP,3,6
1187,하이코드,3,2
1188,F;ACT,3,4
1189,청불,3,2
1190,언플러그,3,2
1191,별따오기,3,4
1192,초당대학교 제 27대 “아띠” 총동아리 연합회,4,100
1193,마음쉬는곳,3,3
1194,더레드,3,2
1195,야구동아리,3,6
1196,DFC,3,3
1197,!DEAS,3,4
1198,LIT:CH (릿치),3,2
1199,대학희망,3,5
1200,플래시백,3,1
1201,유스호스텔,3,NULL
1202,어푸어푸,3,6
1203,호버링,3,4
1204,ESU,3,4
1205,당다라당,3,6
1206,Alchemy,3,2
1207,맥킨토쉬,3,2
1208,CTRL,3,6
1209,ECHO,3,4
1210,별하,3,6
1211,노란자전거,3,6
1212,"전설, 전남대학교스키부",3,6
1213,소리터관현악단,3,2
1214,전남대흑인음악동아리 숨(SU:M),3,2
1215,사진예술연구회 ZOOM,3,NULL
1216,YMCA,3,4
1217,한사랑,3,5
1218,ESF,3,3
1219,TIME,3,4
1220,미담장학회,3,5
1232,물댕댕,1,6
1233,황령테니스,3,1
